"bez";"spr";"spr24"
14;"14073";"14070"
19;"19008";"19008"
23;"23005";"23005"
8;"08015";"08015"
17;"17009";"17009"
2;"02055";"02055"
12;"12054";"12056"
12;"12064";"12064"
23;"23068";"23068"
10;"10002";"10002"
12;"12056";"12056"
4;"04013";"04013"
16;"16033";"16033"
10;"10010";"10012"
19;"19047";"19047"
10;"10082";"10082"
21;"21069";"21069"
11;"11013";"11013"
11;"11076";"11076"
10;"10034";"10034"
3;"03002";"03002"
8;"08012";"08012"
22;"22079";"22079"
7;"07001";"07001"
11;"11064";"11064"
11;"11046";"11046"
7;"07019";"07019"
2;"02032";"02032"
11;"11003";"11003"
15;"15022";"15022"
5;"05009";"05009"
23;"23083";"23083"
16;"16058";"16058"
9;"09023";"09023"
3;"03001";"03001"
21;"21015";"21015"
15;"15015";"15015"
23;"23098";"23098"
10;"10035";"10035"
16;"16012";"16012"
1;"01010";"01014"
2;"02053";"02053"
16;"16070";"16070"
22;"22014";"22014"
22;"22008";"22008"
22;"22112";"22112"
12;"12016";"12016"
12;"12051";"12051"
7;"07020";"07020"
10;"10138";"10138"
22;"22038";"22029"
22;"22040";"22040"
19;"19060";"19060"
18;"18004";"18004"
21;"21079";"21079"
20;"20009";"20009"
21;"21007";"21007"
22;"22116";"22116"
18;"18007";"18007"
9;"09029";"09029"
14;"14019";"14061"
15;"15013";"15013"
23;"23011";"23011"
11;"11051";"11051"
22;"22068";"22068"
13;"13031";"13037"
10;"10012";"10012"
8;"08019";"08019"
22;"22002";"22002"
9;"09025";"09025"
11;"11026";"11026"
2;"02022";"02022"
5;"05013";"05013"
14;"14067";"14072"
14;"14020";"14075"
13;"13008";"13004"
23;"23060";"23060"
18;"18016";"18016"
23;"23101";"23101"
22;"22036";"22036"
10;"10032";"10031"
23;"23070";"23070"
6;"06007";"06007"
7;"07024";"07024"
18;"18026";"18026"
21;"21106";"21106"
23;"23055";"23055"
18;"18015";"18015"
21;"21113";"21113"
22;"22059";"22059"
10;"10139";"10141"
23;"23002";"23002"
19;"19003";"19003"
7;"07014";"07016"
3;"03028";"03028"
20;"20024";"20024"
12;"12015";"12015"
16;"16060";"16060"
10;"10132";"10132"
16;"16079";"16028"
15;"15001";"15001"
10;"10055";"10055"
13;"13013";"13011"
16;"16036";"16036"
21;"21118";"21118"
2;"02036";"02036"
23;"23058";"23058"
15;"15032";"15032"
16;"16002";"16002"
15;"15020";"15020"
19;"19009";"19063"
10;"10051";"10051"
17;"17021";"17021"
3;"03059";"03059"
11;"11055";"11055"
21;"21039";"21039"
16;"16043";"16043"
13;"13038";"13022"
4;"04004";"04004"
21;"21014";"21014"
14;"14066";"14071"
12;"12049";"12049"
17;"17032";"17032"
23;"23096";"23096"
23;"23029";"23029"
21;"21090";"21090"
23;"23089";"23089"
22;"22007";"22007"
13;"13007";"13003"
22;"22065";"22066"
5;"05003";"05003"
22;"22063";"22063"
21;"21097";"21098"
22;"22058";"22055"
10;"10030";"10030"
10;"10009";"10014"
10;"10050";"10050"
1;"01015";"01005"
11;"11069";"11069"
8;"08018";"08018"
2;"02021";"02021"
14;"14033";"14038"
3;"03049";"03049"
9;"09019";"09019"
21;"21049";"21049"
7;"07012";"07012"
10;"10004";"10025"
10;"10107";"10107"
5;"05029";"05029"
1;"01002";"01002"
23;"23010";"23010"
13;"13010";"13007"
12;"12042";"12042"
6;"06021";"06021"
16;"16059";"16059"
15;"15047";"15047"
2;"02009";"02009"
7;"07017";"07017"
9;"09013";"09013"
14;"14028";"14032"
20;"20018";"20018"
11;"11071";"11071"
20;"20020";"20020"
23;"23054";"23055"
14;"14057";"14062"
4;"04019";"04019"
14;"14049";"14009"
5;"05034";"05034"
10;"10085";"10085"
11;"11060";"11060"
12;"12043";"12043"
14;"14065";"14068"
20;"20003";"20003"
10;"10063";"10063"
6;"06011";"06011"
21;"21094";"21094"
19;"19026";"19026"
21;"21048";"21048"
2;"02050";"02050"
23;"23084";"23084"
23;"23052";"23053"
21;"21075";"21075"
5;"05037";"05037"
3;"03038";"03038"
13;"13005";"13014"
21;"21107";"21107"
22;"22115";"22164"
22;"22142";"22142"
23;"23085";"23085"
6;"06004";"06004"
23;"23021";"23021"
11;"11039";"11039"
16;"16040";"16040"
10;"10048";"10048"
10;"10093";"10093"
2;"02062";"02062"
21;"21036";"21036"
10;"10074";"10074"
22;"22145";"22145"
11;"11047";"11047"
11;"11023";"11023"
8;"08010";"08010"
19;"19013";"19013"
23;"23080";"23080"
19;"19053";"19053"
5;"05027";"05027"
22;"22135";"22135"
14;"14036";"14046"
10;"10109";"10109"
18;"18009";"18009"
11;"11008";"11008"
17;"17019";"17019"
10;"10090";"10090"
22;"22029";"22029"
21;"21103";"21103"
23;"23074";"23075"
16;"16008";"16008"
23;"23036";"23036"
4;"04016";"04016"
15;"15017";"15017"
16;"16034";"16034"
10;"10100";"10100"
16;"16027";"16027"
16;"16020";"16020"
15;"15004";"15004"
10;"10140";"10142"
19;"19021";"19065"
12;"12041";"12041"
7;"07004";"07005"
19;"19002";"19002"
10;"10021";"10021"
16;"16029";"16029"
8;"08014";"08014"
20;"20052";"20052"
11;"11036";"11036"
23;"23095";"23095"
6;"06016";"06016"
15;"15040";"15050"
20;"20017";"20017"
9;"09003";"09003"
10;"10099";"10099"
16;"16051";"16066"
21;"21023";"21023"
10;"10102";"10102"
23;"23018";"23018"
20;"20039";"20039"
15;"15019";"15019"
18;"18032";"18032"
18;"18023";"18023"
21;"21105";"21105"
15;"15030";"15030"
12;"12024";"12024"
3;"03010";"03010"
23;"23016";"23016"
12;"12020";"12008"
23;"23047";"23047"
15;"15041";"15041"
19;"19006";"19006"
8;"08016";"08016"
2;"02044";"02044"
12;"12053";"12053"
22;"22150";"22150"
23;"23019";"23019"
14;"14007";"14005"
21;"21083";"21083"
10;"10113";"10113"
11;"11010";"11010"
11;"11024";"11024"
9;"09009";"09009"
10;"10076";"10076"
16;"16055";"16054"
17;"17006";"17006"
2;"02061";"02061"
20;"20031";"20031"
8;"08007";"08007"
16;"16065";"16065"
19;"19055";"19055"
10;"10014";"10014"
18;"18011";"18011"
12;"12040";"12040"
2;"02051";"02051"
21;"21024";"21024"
14;"14002";"14002"
5;"05026";"05026"
21;"21074";"21074"
3;"03070";"03070"
11;"11074";"11074"
2;"02058";"02058"
3;"03012";"03012"
21;"21042";"21042"
15;"15034";"15034"
2;"02054";"02054"
6;"06010";"06010"
2;"02003";"02003"
12;"12012";"12012"
2;"02008";"02008"
10;"10015";"10015"
7;"07018";"07018"
21;"21019";"21019"
20;"20032";"20032"
10;"10007";"10007"
4;"04008";"04008"
10;"10108";"10108"
21;"21037";"21037"
12;"12013";"12013"
3;"03040";"03040"
3;"03037";"03037"
3;"03050";"03050"
19;"19004";"19004"
5;"05039";"05039"
10;"10088";"10088"
16;"16048";"16048"
11;"11001";"11001"
21;"21100";"21100"
23;"23073";"23073"
15;"15031";"15031"
11;"11057";"11057"
17;"17023";"17023"
6;"06028";"06028"
3;"03003";"03003"
22;"22080";"22080"
21;"21006";"21006"
21;"21008";"21008"
2;"02014";"02014"
3;"03006";"03006"
21;"21013";"21013"
5;"05001";"05001"
22;"22039";"22039"
22;"22094";"22094"
12;"12007";"12006"
16;"16013";"16013"
23;"23013";"23013"
7;"07016";"07016"
8;"08003";"08003"
23;"23063";"23063"
16;"16019";"16019"
21;"21001";"21001"
20;"20054";"20054"
16;"16016";"16016"
23;"23030";"23030"
3;"03030";"03030"
17;"17030";"17030"
21;"21065";"21065"
10;"10095";"10095"
21;"21040";"21040"
4;"04020";"04025"
11;"11018";"11018"
21;"21058";"21058"
21;"21117";"21117"
10;"10081";"10081"
23;"23094";"23104"
22;"22071";"22071"
21;"21032";"21032"
15;"15012";"15012"
21;"21095";"21095"
3;"03069";"03069"
14;"14008";"14006"
12;"12036";"12036"
21;"21002";"21002"
22;"22051";"22051"
16;"16057";"16057"
17;"17026";"17026"
1;"01012";"01011"
22;"22049";"22049"
21;"21070";"21070"
14;"14064";"14067"
18;"18010";"18010"
7;"07011";"07011"
23;"23043";"23043"
19;"19011";"19011"
18;"18025";"18025"
23;"23024";"23024"
17;"17011";"17011"
2;"02056";"02056"
20;"20033";"20033"
2;"02039";"02039"
21;"21051";"21051"
6;"06026";"06026"
2;"02002";"02002"
10;"10105";"10105"
20;"20030";"20030"
10;"10126";"10126"
13;"13017";"13018"
12;"12044";"12044"
22;"22031";"22031"
16;"16025";"16025"
11;"11059";"11059"
19;"19007";"19007"
19;"19048";"19048"
23;"23006";"23006"
19;"19037";"19037"
9;"09022";"09022"
2;"02064";"02064"
3;"03061";"03061"
12;"12028";"12028"
22;"22030";"22030"
3;"03014";"03014"
16;"16037";"16037"
22;"22102";"22102"
22;"22136";"22136"
10;"10023";"10023"
18;"18034";"18034"
3;"03063";"03063"
12;"12003";"12003"
13;"13028";"13027"
15;"15049";"15049"
10;"10029";"10029"
13;"13032";"13034"
11;"11050";"11050"
22;"22096";"22096"
18;"18020";"18020"
10;"10141";"10142"
10;"10111";"10111"
20;"20014";"20014"
16;"16066";"16066"
20;"20028";"20028"
8;"08004";"08004"
5;"05016";"05016"
23;"23026";"23026"
21;"21044";"21044"
20;"20022";"20022"
2;"02065";"02065"
15;"15009";"15009"
20;"20043";"20043"
23;"23007";"23007"
22;"22087";"22087"
14;"14037";"14047"
21;"21034";"21034"
19;"19044";"19044"
2;"02063";"02063"
5;"05031";"05031"
2;"02016";"02016"
6;"06024";"06024"
5;"05040";"05040"
14;"14006";"14004"
3;"03043";"03043"
17;"17004";"17004"
22;"22009";"22009"
23;"23092";"23092"
22;"22123";"22123"
7;"07026";"07026"
21;"21010";"21010"
18;"18033";"18033"
10;"10046";"10046"
21;"21004";"21004"
20;"20029";"20029"
2;"02020";"02020"
22;"22130";"22130"
13;"13023";"13010"
16;"16061";"16061"
21;"21077";"21077"
19;"19019";"19019"
18;"18005";"18005"
22;"22083";"22083"
15;"15018";"15018"
5;"05014";"05014"
16;"16023";"16023"
19;"19038";"19038"
12;"12045";"12045"
7;"07022";"07022"
19;"19041";"19041"
22;"22056";"22056"
22;"22152";"22155"
20;"20034";"20034"
22;"22017";"22017"
14;"14068";"14073"
10;"10133";"10133"
8;"08021";"08021"
20;"20013";"20013"
11;"11065";"11065"
10;"10043";"10043"
22;"22131";"22131"
14;"14069";"14044"
16;"16046";"16046"
18;"18003";"18003"
10;"10054";"10054"
23;"23008";"23008"
10;"10003";"10003"
3;"03045";"03045"
14;"14072";"14069"
15;"15026";"15026"
3;"03027";"03027"
6;"06013";"06013"
20;"20012";"20012"
11;"11032";"11032"
20;"20027";"20027"
14;"14061";"14040"
12;"12062";"12062"
1;"01017";"01004"
22;"22048";"22048"
23;"23079";"23079"
3;"03021";"03021"
21;"21093";"21093"
2;"02017";"02017"
19;"19028";"19028"
10;"10061";"10061"
21;"21071";"21071"
14;"14009";"14007"
22;"22052";"22052"
19;"19043";"19043"
20;"20006";"20059"
3;"03056";"03056"
3;"03019";"03019"
22;"22062";"22062"
3;"03029";"03029"
12;"12011";"12011"
4;"04009";"04009"
21;"21059";"21059"
3;"03031";"03031"
12;"12061";"12061"
20;"20053";"20053"
23;"23093";"23093"
19;"19030";"19030"
23;"23103";"23103"
10;"10115";"10115"
10;"10110";"10110"
21;"21098";"21132"
10;"10119";"10119"
10;"10056";"10031"
15;"15039";"15039"
19;"19015";"19015"
8;"08006";"08006"
7;"07021";"07021"
4;"04022";"04024"
14;"14059";"14064"
21;"21027";"21027"
20;"20016";"20016"
2;"02049";"02049"
16;"16007";"16007"
13;"13022";"13030"
4;"04011";"04011"
9;"09033";"09033"
2;"02030";"02030"
16;"16082";"16055"
22;"22076";"22076"
2;"02041";"02041"
12;"12034";"12034"
21;"21011";"21011"
14;"14012";"14030"
22;"22093";"22093"
10;"10121";"10121"
3;"03015";"03015"
16;"16017";"16017"
23;"23066";"23066"
16;"16049";"16049"
23;"23072";"23072"
12;"12039";"12039"
11;"11007";"11007"
22;"22101";"22101"
11;"11044";"11044"
15;"15016";"15016"
15;"15048";"15048"
2;"02038";"02038"
13;"13033";"13035"
21;"21119";"21119"
21;"21086";"21086"
15;"15045";"15045"
11;"11021";"11021"
9;"09018";"09018"
16;"16069";"16069"
21;"21078";"21078"
13;"13015";"13016"
23;"23078";"23078"
21;"21120";"21120"
21;"21029";"21029"
3;"03051";"03051"
9;"09021";"09021"
23;"23051";"23051"
14;"14071";"14045"
23;"23020";"23020"
23;"23069";"23069"
23;"23088";"23088"
15;"15043";"15043"
2;"02071";"02071"
17;"17008";"17008"
9;"09008";"09008"
3;"03004";"03004"
5;"05011";"05011"
21;"21067";"21067"
20;"20025";"20025"
22;"22114";"22114"
10;"10018";"10018"
19;"19058";"19058"
22;"22134";"22134"
17;"17001";"17001"
22;"22018";"22018"
10;"10103";"10144"
23;"23102";"23102"
19;"19018";"19064"
14;"14045";"14058"
10;"10104";"10104"
6;"06015";"06015"
18;"18002";"18002"
11;"11017";"11017"
17;"17025";"17025"
14;"14027";"14031"
9;"09027";"09027"
21;"21018";"21018"
21;"21017";"21017"
22;"22006";"22006"
21;"21009";"21009"
14;"14052";"14012"
16;"16042";"16042"
18;"18006";"18006"
1;"01016";"01005"
6;"06005";"06005"
21;"21061";"21061"
21;"21073";"21073"
14;"14015";"14022"
11;"11002";"11002"
1;"01001";"01001"
10;"10013";"10013"
4;"04007";"04007"
22;"22129";"22129"
11;"11062";"11062"
21;"21091";"21091"
21;"21033";"21033"
19;"19054";"19054"
22;"22137";"22137"
21;"21005";"21005"
19;"19031";"19031"
5;"05005";"05005"
2;"02072";"02072"
16;"16022";"16022"
21;"21043";"21043"
16;"16074";"16074"
20;"20035";"20035"
14;"14062";"14041"
14;"14039";"14052"
22;"22154";"22154"
20;"20002";"20002"
20;"20038";"20038"
10;"10097";"10097"
18;"18028";"18028"
20;"20050";"20050"
22;"22090";"22090"
22;"22104";"22104"
9;"09001";"09001"
5;"05017";"05017"
3;"03036";"03035"
17;"17007";"17007"
13;"13029";"13028"
12;"12035";"12035"
2;"02034";"02034"
2;"02029";"02029"
22;"22078";"22065"
22;"22012";"22012"
11;"11035";"11035"
2;"02028";"02028"
19;"19039";"19039"
14;"14070";"14074"
21;"21046";"21046"
22;"22023";"22023"
22;"22045";"22045"
23;"23048";"23048"
7;"07003";"07003"
22;"22139";"22139"
2;"02074";"02074"
14;"14029";"14033"
21;"21089";"21089"
23;"23028";"23028"
19;"19046";"19046"
14;"14063";"14066"
21;"21047";"21047"
13;"13037";"13038"
3;"03035";"03035"
16;"16063";"16063"
12;"12021";"12021"
3;"03007";"03007"
23;"23056";"23056"
11;"11037";"11037"
18;"18008";"18008"
18;"18022";"18022"
22;"22144";"22144"
22;"22019";"22019"
12;"12010";"12010"
18;"18031";"18040"
21;"21108";"21108"
23;"23003";"23003"
14;"14035";"14051"
14;"14051";"14011"
18;"18019";"18019"
10;"10052";"10052"
22;"22147";"22147"
2;"02059";"02059"
21;"21124";"21124"
3;"03039";"03039"
19;"19022";"19022"
12;"12001";"12001"
20;"20005";"20005"
21;"21053";"21053"
11;"11029";"11029"
14;"14031";"14050"
18;"18014";"18014"
13;"13034";"13039"
12;"12055";"12055"
3;"03026";"03026"
14;"14025";"14024"
5;"05030";"05030"
22;"22089";"22089"
4;"04018";"04018"
4;"04006";"04006"
18;"18029";"18029"
19;"19035";"19035"
3;"03067";"03067"
12;"12017";"12016"
19;"19051";"19051"
3;"03048";"03048"
3;"03047";"03047"
7;"07006";"07006"
2;"02019";"02019"
23;"23009";"23009"
2;"02052";"02052"
8;"08022";"08022"
22;"22120";"22120"
14;"14041";"14054"
19;"19010";"19010"
10;"10071";"10071"
13;"13009";"13006"
17;"17027";"17027"
23;"23087";"23087"
2;"02046";"02046"
23;"23075";"23075"
